card_en,card_zh,arcana,number,upright_s,upright_d,upright_basis,reversed_s,reversed_d,reversed_basis
"Eight of Swords","宝剑八",minor,8,-6,-4,"temporary restraint; crisis; constrained power",-7,-4,"difficulty; opposition; accident; treachery"
"Nine of Swords","宝剑九",minor,9,-9,-6,"despair; failure; fear; mental suffering",-7,-4,"suspicion; shame; imprisonment; persistent fear"
"Ten of Swords","宝剑十",minor,10,-10,-10,"pain; desolation; ending; total defeat",3,2,"temporary advantage; recovery begins; limited success"
"Page of Swords","宝剑侍从",minor,11,2,5,"vigilance; observation; secret service; inquiry",-5,-4,"unforeseen trouble; imposture; unhealthy scrutiny"
"Knight of Swords","宝剑骑士",minor,12,-2,10,"bravery; force; conflict; destructive speed",-6,-7,"imprudence; incapacity; reckless excess"
"Queen of Swords","宝剑王后",minor,13,-4,2,"separation; privation; severe clear judgment",-8,-5,"malice; bigotry; deceit; cruelty"
"King of Swords","宝剑国王",minor,14,6,6,"judgment; authority; law; intellectual command",-8,-6,"cruelty; perversity; abuse of authority"
"Ace of Pentacles","星币王牌",minor,1,10,6,"wealth; contentment; material opportunity",-6,-4,"corruption; greed; harmful use of wealth"
"Two of Pentacles","星币二",minor,2,3,5,"adaptation; messages; recreation; managed fluctuation",-4,-4,"instability; bad news; forced performance"
"Three of Pentacles","星币三",minor,3,7,6,"skilled work; trade; recognition; craftsmanship",-5,-3,"mediocrity; weakness; poor workmanship"
"Four of Pentacles","星币四",minor,4,5,-2,"security; possession; legacy; conservation",-4,-3,"delay; opposition; suspense; blocked resources"
"Five of Pentacles","星币五",minor,5,-8,-5,"material trouble; destitution; exclusion",-9,-7,"disorder; ruin; discord; profligacy"
"Six of Pentacles","星币六",minor,6,7,4,"gifts; prosperity; fair distribution; present support",-4,-2,"desire; cupidity; envy; unequal exchange"
"Seven of Pentacles","星币七",minor,7,4,0,"investment; assessment; patient cultivation",-4,-3,"money anxiety; impatience; poor return"
"Eight of Pentacles","星币八",minor,8,6,6,"employment; craft; skill; repeated work",-5,-4,"voided ambition; vanity; cunning; intrigue"
"Nine of Pentacles","星币九",minor,9,9,2,"prudence; safety; accomplishment; material comfort",-7,-4,"deception; bad faith; compromised security"
"Ten of Pentacles","星币十",minor,10,10,3,"gain; riches; family; durable resources",-5,-3,"loss; risk; unstable inheritance; broken legacy"
"Page of Pentacles","星币侍从",minor,11,6,3,"application; study; money news; practical beginning",-5,-3,"prodigality; dissipation; bad financial news"
"Knight of Pentacles","星币骑士",minor,12,6,4,"utility; service; responsibility; steady work",-5,-5,"inertia; idleness; carelessness; stagnation"
"Queen of Pentacles","星币王后",minor,13,8,3,"opulence; generosity; security; practical nurture",-6,-3,"fear; suspicion; mistrust; harmful materialism"
"King of Pentacles","星币国王",minor,14,9,6,"business skill; success; security; material command",-8,-5,"corruption; vice; weakness; material abuse"
